"";"pais";"2008";"2009";"2010";"2011";"2012"
"131";"PAIS DESCONOCIDO";52069;94850;134790;138972;146309
"132";"BAJAS POR CADUCIDAD";142315;154213;163515;139223;130421
"82";"AMERICA";26993;29440;29319;36618;43667
"92";"Ecuador";1693;3027;4292;6668;10622
"29";"Reino Unido";5186;5339;6249;8237;8055
"17";"Francia";4394;4338;5105;6130;6960
"8";"Alemania";3991;4123;4658;5904;6577
"53";"AFRICA";5332;6040;6186;6504;6088
"34";"RESTO DE EUROPA";4408;3851;4262;5764;5967
"32";"Rumanía";5854;5673;4875;5076;5359
"94";"Estados Unidos";4163;3897;3647;4891;4498
"87";"Colombia";1936;2129;2231;2696;4190
"106";"ASIA";3170;3269;3154;4539;4128
"73";"Marruecos";3485;3930;3958;4071;3894
"83";"Argentina";3432;3850;3367;3943;3544
"49";"Suiza";1722;1589;1993;3106;3217
"84";"Bolivia";3436;3622;2792;2518;3128
"104";"Venezuela";2130;2328;2376;2798;3036
"10";"Bélgica";1563;2041;2138;2796;2805
"101";"Perú";1017;1333;1292;1884;2698
"85";"Brasil";2432;2092;2264;2742;2574
"90";"Chile";1013;970;1169;1575;1965
"26";"Países Bajos";1598;1405;1459;1803;1677
"21";"Italia";1814;2007;1666;1746;1642
"28";"Portugal";2113;1954;1775;1799;1636
"110";"China";1146;1175;1124;1561;1354
"11";"Bulgaria";1276;1321;1114;1023;1265
"100";"Paraguay";1022;856;867;1037;1260
"102";"República Dominicana";770;882;904;1017;1222
"103";"Uruguay";782;1160;969;1014;1127
"97";"México";1055;1101;935;1159;1050
"126";"Asia: Otros países";531;503;588;945;975
"89";"Cuba";654;742;840;775;727
"36";"Andorra";674;606;701;839;694
"127";"OCEANIA";433;402;524;546;665
"27";"Polonia";1188;874;711;661;645
"51";"Ucrania";703;596;544;574;635
"86";"Canadá";238;434;333;601;628
"128";"Australia";381;325;477;474;609
"33";"Suecia";401;391;453;625;589
"20";"Irlanda";565;484;481;608;539
"9";"Austria";262;259;317;470;498
"55";"Argelia";337;467;411;491;482
"46";"Noruega";308;278;276;399;462
"96";"Honduras";325;241;260;305;392
"99";"Panamá";222;215;236;299;387
"69";"Guinea Ecuatorial";346;416;428;425;357
"47";"Rusia";399;274;297;269;355
"13";"Dinamarca";240;301;291;259;305
"112";"India";230;216;238;427;279
"107";"Arabia Saudí";61;79;100;163;268
"98";"Nicaragua";167;194;191;210;257
"122";"Pakistán";274;275;212;324;250
"76";"Senegal";197;185;274;244;243
"24";"Luxemburgo";158;134;60;224;219
"16";"Finlandia";131;153;126;210;218
"23";"Lituania";248;247;250;211;213
"111";"Filipinas";201;159;207;165;205
"117";"Japón";228;218;194;284;197
"30";"República Checa";136;115;156;143;171
"75";"Nigeria";99;143;177;170;168
"50";"Turquía";97;114;94;195;143
"95";"Guatemala";172;128;122;178;142
"19";"Hungría";258;92;86;142;140
"78";"Sudáfrica";40;53;66;113;138
"81";"África: Otros países";196;177;202;213;119
"93";"El Salvador";135;86;101;132;110
"41";"Georgia";71;61;99;82;106
"31";"República Eslovaca";125;103;76;111;100
"65";"Gambia";69;85;115;125;95
"45";"Moldova";153;127;73;72;92
"109";"Corea (República de)";30;53;56;63;92
"63";"Egipto";145;111;91;117;90
"116";"Israel";106;110;77;126;85
"88";"Costa Rica";144;112;90;110;84
"74";"Mauritania";48;68;52;76;83
"113";"Indonesia";48;70;52;68;83
"124";"Tailandia";74;78;51;97;81
"48";"Serbia";66;24;37;45;74
"108";"Bangladesh";27;44;39;58;65
"18";"Grecia";117;124;80;95;58
"125";"Vietnam";24;36;50;64;56
"120";"Líbano";36;64;51;70;50
"72";"Malí";25;38;56;55;49
"129";"Nueva Zelanda";40;70;34;64;49
"66";"Ghana";45;44;39;56;47
"54";"Angola";43;44;35;43;45
"25";"Malta";9;13;5;20;43
"37";"Armenia";74;41;44;35;39
"64";"Etiopía";24;24;38;16;39
"40";"Croacia";22;21;26;30;38
"70";"Kenia";23;36;34;51;37
"80";"Túnez";51;39;17;45;34
"22";"Letonia";56;39;29;21;32
"42";"Islandia";18;22;9;9;30
"62";"Costa de Marfil";22;17;28;21;30
"68";"Guinea-Bissau";23;28;33;27;28
"58";"Cabo Verde";8;20;22;62;26
"105";"América: Otros países";53;41;39;64;26
"118";"Jordania";45;44;41;46;24
"59";"Camerún";41;41;29;23;23
"38";"Bielorrusia";30;15;14;16;22
"14";"Eslovenia";26;20;14;14;21
"12";"Chipre";10;9;17;25;20
"39";"Bosnia y Herzegovina";34;35;16;22;19
"67";"Guinea";40;38;34;29;18
"15";"Estonia";21;17;13;21;17
"123";"Siria";57;96;29;48;17
"119";"Kazajstán";16;10;15;16;16
"35";"Albania";15;25;12;16;13
"43";"Liechtenstein";10;6;10;21;13
"115";"Irán";29;21;21;8;13
"44";"Macedonia (Ex-República Yugoslava de)";3;7;7;25;11
"57";"Burkina Faso";6;1;8;7;10
"121";"Nepal";1;6;5;3;10
"60";"Congo (República del)";0;1;6;6;9
"114";"Irak";6;12;4;3;8
"61";"Congo (República Democrática del)";13;12;16;4;7
"130";"Oceanía: Otros países";12;7;13;8;7
"56";"Benín";3;8;7;4;6
"52";"Resto de Europa: Otros países";9;10;10;9;4
"77";"Sierra Leona";0;3;3;2;4
"79";"Togo";1;6;3;3;4
"71";"Liberia";2;5;4;5;3
"91";"Dominica";2;0;2;2;0
